MAGOH,RBM22,SRRM4,PSF,NOVA1,SRSF6,RBM3,RBM45,SRSF1,SNRNP200,SRRM1,SF3B1,U2AF1,U2AF2,TCERG1,PRPF8,CELF1,ESRP1,ESRP2,RBM17,SNW1,SND1,TIA1,SRSF2,SRSF4,SRSF5,SRSF9,TRA2A,TRA2B,KHRSB1,RAVER1,PTBP1,SRSF3,Cancer
3540637,8479136,0.4598,62543189,731119,64931601,21892172,1899069,38454995,55463846,21532554,46227045,12964942,31903172,5722871,104647746,18524207,18103506,15946578,6407346,12280467,98911519,5786311,24655225,14637730,42570952,27869783,11519199,26250417,35348915,20176962,56564274,49626043,1
3476151,10869092,0.0000,46262294,413439,61357603,26460092,1974715,39989338,71198538,20138728,44060694,16690751,32381503,4893064,54650289,16673410,29280347,16210983,10589595,13589595,69924855,2815029,21504017,13791908,22835260,34225434,9945087,17734104,38439306,11901734,53170520,34898844,1
3709930,9197891,0.5699,41392335,267844,44502066,45009261,1926200,45265707,64316854,26811205,32797391,10260936,30947813,4577897,85748273,15126631,20809670,20268611,7924021,10740599,121983883,3541827,15977475,14785111,24305449,26818880,7099002,18994628,28200307,18396009,40272448,36273983,1
2958648,8541198,20600,37562321,713269,29182213,22036652,1393062,31430168,75987568,17624591,33135686,14958167,46242270,4121499,71997090,11124045,17635504,16318661,12022554,12429975,92844671,8966897,22976100,16285922,32593670,36947981,12459076,20905784,26100400,21811568,46886140,53317570,1
3396168,9480841,0.3090,42178554,1294808,47190977,38584672,1807787,36229913,73430161,21496397,64268758,11042815,32835947,7613396,93264095,20919881,25515049,25786350,12518016,13420941,105218313,8321323,19724587,16252649,44569733,28041543,8465451,19512505,33217465,13861806,51284443,40462060,1
2833167,9894106,55944,51204835,611389,46553447,21510490,1646354,39988012,76019980,26745598,65786278,9523376,29659988,6885246,117310261,22659381,28087432,20980571,10063752,12944748,80856102,8846387,19531967,17228294,33029751,23011536,8151184,21196114,34265331,18919247,54204614,38412265,1
3060216,9488613,81044,39018300,982251,28507983,41782965,1679228,34249129,68180566,23332997,63886141,12576966,33519734,8822045,86524680,18508126,18350661,17708691,13021096,14337337,76010901,16763904,31156273,18758454,41719996,26385384,15358837,21399011,38772585,16545877,57878268,50743918,1
3845785,8855364,14368,50489751,517241,50603448,33793103,1863027,42854406,61910920,34500208,51489933,10427556,26939920,7659480,101076620,21785037,26186681,25886005,9494532,12085922,139119842,8059348,21134710,16437970,43229102,24302033,8824986,22959842,31620541,16245785,50401921,37634054,1
3255956,8742137,25537,41440750,774620,54853290,29337658,1830145,43829856,55176758,33341033,57402017,8525449,24550705,7093247,102684223,18356818,24818665,23309463,8888889,11509972,108523909,8580889,18644737,14312774,34924155,23974744,8540849,18341418,31129591,13499653,40523601,33553554,1
2652733,9255091,160772,40674705,819936,43456592,38397642,1907824,41361200,68151125,36560968,61372998,11013403,27750899,6685191,112321020,23952272,34436090,26616541,9022556,11219353,103066362,8463550,24842530,12951945,51755476,21618176,8326250,20032690,27629944,12523701,47835894,35913697,1
