CA150,CELF4,CUGBP,ESRP1,ESRP2,FBP11,MAGOH,NOVA1,nSR100,PRP8,PSF,PTB,RAVER1,RBM17,RBM22,RBM3,RBM45,SAM68TV1,SC35,SF3BTV1,SF3BTV2,SKIP,SND1,SRM160,SRSF1,SRSF10,SRSF3,SRSF4,SRSF5,SRSF6,SRSF9,TIA1,TRA2A,TRA2B,U1,U11,U12,U2,U2AF1,U2AF2,U4,U4atac,U5,U6,U6atac,Class
139658.925,270.988,89590.994,164998.123,15019.958,3735.193,161.569,12457.810,6628.759,10062.374,0.000,0.000,1994.351,10733.250,8862.773,19983.520,599.722,55149.879,766.701,0.000,14198.544,0.000,40968.146,10066.351,49594.839,10725.759,8622.873,2174.689,275136.319,3086.340,149369.431,1170.151,112345.848,0.000,241412907.860,3811475.258,11330.178,5628632.075,18756.576,0.000,1416484.035,204.185,462904218.506,1024181.762,4729.055,NP1
53787.643,0.000,3240.256,45110.641,0.000,0.000,3690.949,160944.851,2529.269,0.000,0.000,3144.136,172.351,27809.709,2446.812,26528.300,2399.788,6077.711,203.725,0.000,11462.636,0.000,17208.212,21433.974,86905.569,38708.629,38347.912,189.563,89442.856,1038.728,170566.227,0.000,70281.529,3755.572,240072201.966,26063772.147,3408.886,2127221.327,13853.618,43.693,57747001.651,4051.234,334599789.755,5539073.564,41885.639,NP1
100378.293,0.000,5048.962,88199.574,20044.616,8928.579,14445.843,19917.568,869.683,14534.365,238.733,9492.740,666.371,34816.846,5996.574,37528.591,9127.572,96451.886,4828.117,1785.492,56154.564,290.275,19763.692,66713.223,141258.415,39308.159,40391.443,4027.362,281504.809,808.036,218822.475,742.036,96398.989,13927.914,830918885.803,17286143.506,5011.814,96891009.325,13805.656,3782.684,283230526.604,46867.044,1416500405.278,9277428.904,30508.208,NP1
259565.354,0.000,5940.297,235104.799,0.000,3313.040,3705.626,31769.023,5070.925,0.000,0.000,8752.281,745.197,48616.335,13861.662,18281.614,2560.351,47508.203,680.280,35.066,34712.085,10.683,11798.866,58586.347,131783.639,20858.286,35381.148,7143.155,427494.411,0.000,45714.647,1720.524,62100.313,20361.119,488912621.827,20795180.349,1017.409,12315316.001,74517.515,1734.241,42248131.136,4681.675,662650810.059,782151.216,15908.636,NP1
227252.908,0.000,19822.041,206526.820,15143.568,9956.517,13467.526,90740.335,15133.977,12684.621,0.000,7762.621,1496.166,37512.306,29624.636,67611.608,11381.005,101497.179,3938.737,9.472,63487.865,6.527,48550.524,82404.646,295346.074,29255.828,57481.516,13960.210,757571.436,128.196,308919.024,6982.633,232620.053,42342.945,490960942.789,56054327.440,2881.432,7523707.724,11136.708,3741.981,83126728.993,3053.798,520868135.325,1522805.967,6935.734,NP1
33255.808,0.000,2235.479,20020.431,3248.854,2186.322,8121.464,54348.022,1360.063,9659.322,0.000,5097.066,611.440,31474.352,9905.677,23054.680,923.980,41159.409,697.644,31.971,17819.550,4.225,13342.612,19598.764,79144.634,37156.193,50451.052,5582.711,261055.243,797.712,120017.642,2882.189,67690.207,10554.375,155249274.959,15176859.165,1983.217,3432782.117,9293.739,1087.325,56687370.331,6842.298,107112683.627,1928834.210,17815.622,NP1
58259.984,0.000,9104.729,38173.722,11642.718,4183.224,6314.978,22719.847,218.738,19298.731,17.125,8603.529,750.196,23682.115,21840.313,28305.476,5134.024,95735.372,1651.018,136.618,34125.380,8.714,20510.033,35188.985,133922.338,34573.133,27186.346,10719.744,355389.841,3029.006,184472.951,17234.645,120170.238,13594.351,418109099.569,11676835.821,10290.400,32169021.944,8313.611,1857.325,118512004.579,13626.482,222667707.073,2334300.381,17713.859,NP1
187290.487,0.000,10242.159,109637.672,11666.575,4658.869,16385.000,312396.584,6406.020,3996.027,0.000,4992.595,904.576,111386.357,2310.607,58566.047,3041.254,43373.812,144.247,7.520,14717.467,2.995,10875.863,50270.922,165920.140,135427.532,96744.715,2465.835,289974.046,245.643,288740.651,6929.537,151524.700,4277.031,202775993.970,15006031.992,731.583,10060283.390,41684.257,1159.824,106247248.498,11479.335,275739973.609,4438143.829,46166.439,NP1
328157.017,0.000,1619.986,609352.942,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4780.802,0.000,0.000,0.000,0.000,0.000,9979.593,0.000,0.000,56659.496,2383.823,0.000,0.000,0.000,60827.020,1645.825,40565.023,0.000,0.000,5433.947,98222558.553,719765.316,0.000,945912.735,33624.854,0.000,95201.577,104.088,116162249.917,120994.418,2801.480,NP1
779633.113,0.000,88405.771,881256.817,0.000,0.000,24532.470,3719.485,0.000,12401.981,0.000,12666.439,0.000,20945.616,17647.674,33510.581,0.000,12584.476,36.666,19.568,33654.184,0.000,16457.319,77594.999,63137.398,7535.115,22036.354,17783.109,902765.957,3943.553,225159.630,0.000,155214.864,38788.297,633359859.994,25492621.448,15562.107,25278474.769,88483.902,12183.752,33619272.791,6818.233,671418491.649,3477214.711,14565.725,NP1
9600.611,0.000,2241.121,3655.154,1856.617,2417.339,2150.616,965.603,0.000,9192.931,0.575,4457.237,1034.209,4481.878,3272.045,10978.522,1876.321,29536.001,477.363,9.392,4826.725,14.321,10272.702,7287.986,31418.447,32453.113,11840.408,1929.738,74562.793,109.081,43826.198,2117.345,27188.719,10454.860,19607060.423,1478487.933,78.977,609455.432,1308.220,1808.888,6254741.315,284.679,13973617.287,73572.709,286.339,NP1
103050.751,0.000,21515.111,106989.254,0.000,0.000,2337.864,42581.810,1262.227,10152.772,0.000,2962.660,2130.548,12134.734,3190.488,47548.899,5746.036,53408.587,298.486,12.107,15882.369,4.160,41685.884,41699.991,83387.166,58659.292,18789.723,4591.192,333565.048,1164.053,118778.745,8030.387,92236.689,29343.637,451202710.600,18363802.554,2921.553,6721181.441,12021.445,3635.391,86566345.406,4827.278,290849982.944,1375826.379,8196.191,NP1
83847.414,0.000,14827.054,75101.127,11954.674,1652.871,7035.089,147543.270,1586.094,38417.959,0.000,10323.750,4249.724,16870.836,12301.403,39536.181,8213.195,69295.778,730.199,3.802,18748.907,24.546,82058.145,32972.172,61813.027,113594.269,29585.740,4052.187,396928.258,286.593,135991.080,7258.510,189960.367,31739.641,146325565.998,29644869.234,448.709,4420804.918,7600.682,8574.241,14617276.583,1238.990,237553775.529,1610510.630,2055.609,NP1
