pred,obs,N,S,rowIndex,C,M,Resample
N,S,0.513513513513513,0.486486486486487,153,0.01,1,Fold05.Rep2
N,S,0.513513513513513,0.486486486486487,175,0.01,1,Fold05.Rep2
N,N,0.518918918918919,0.481081081081081,9,0.01,1,Fold06.Rep2
N,N,0.518918918918919,0.481081081081081,10,0.01,1,Fold06.Rep2
N,N,0.518918918918919,0.481081081081081,23,0.01,1,Fold06.Rep2
N,N,0.518918918918919,0.481081081081081,28,0.01,1,Fold06.Rep2
N,N,0.518918918918919,0.481081081081081,48,0.01,1,Fold06.Rep2
N,N,0.518918918918919,0.481081081081081,69,0.01,1,Fold06.Rep2
N,N,0.518918918918919,0.481081081081081,74,0.01,1,Fold06.Rep2
N,N,0.518918918918919,0.481081081081081,79,0.01,1,Fold06.Rep2
N,N,0.518918918918919,0.481081081081081,80,0.01,1,Fold06.Rep2
N,N,0.518918918918919,0.481081081081081,98,0.01,1,Fold06.Rep2
N,S,0.518918918918919,0.481081081081081,107,0.01,1,Fold06.Rep2
N,S,0.518918918918919,0.481081081081081,111,0.01,1,Fold06.Rep2
N,S,0.518918918918919,0.481081081081081,119,0.01,1,Fold06.Rep2
N,S,0.518918918918919,0.481081081081081,155,0.01,1,Fold06.Rep2
N,S,0.518918918918919,0.481081081081081,162,0.01,1,Fold06.Rep2
N,S,0.518918918918919,0.481081081081081,166,0.01,1,Fold06.Rep2
N,S,0.518918918918919,0.481081081081081,179,0.01,1,Fold06.Rep2
N,S,0.518918918918919,0.481081081081081,200,0.01,1,Fold06.Rep2
N,S,0.518918918918919,0.481081081081081,201,0.01,1,Fold06.Rep2
N,S,0.518918918918919,0.481081081081081,202,0.01,1,Fold06.Rep2
N,N,0.516304347826087,0.483695652173913,1,0.01,1,Fold07.Rep2
N,N,0.516304347826087,0.483695652173913,6,0.01,1,Fold07.Rep2
N,N,0.516304347826087,0.483695652173913,14,0.01,1,Fold07.Rep2
N,N,0.516304347826087,0.483695652173913,16,0.01,1,Fold07.Rep2
N,N,0.516304347826087,0.483695652173913,47,0.01,1,Fold07.Rep2
N,N,0.516304347826087,0.483695652173913,64,0.01,1,Fold07.Rep2
N,N,0.516304347826087,0.483695652173913,65,0.01,1,Fold07.Rep2
N,N,0.516304347826087,0.483695652173913,82,0.01,1,Fold07.Rep2
N,N,0.516304347826087,0.483695652173913,89,0.01,1,Fold07.Rep2
N,N,0.516304347826087,0.483695652173913,90,0.01,1,Fold07.Rep2
N,N,0.516304347826087,0.483695652173913,100,0.01,1,Fold07.Rep2
N,S,0.516304347826087,0.483695652173913,117,0.01,1,Fold07.Rep2
N,S,0.516304347826087,0.483695652173913,131,0.01,1,Fold07.Rep2
N,S,0.516304347826087,0.483695652173913,150,0.01,1,Fold07.Rep2
N,S,0.516304347826087,0.483695652173913,156,0.01,1,Fold07.Rep2
N,S,0.516304347826087,0.483695652173913,157,0.01,1,Fold07.Rep2
N,S,0.516304347826087,0.483695652173913,168,0.01,1,Fold07.Rep2
N,S,0.516304347826087,0.483695652173913,170,0.01,1,Fold07.Rep2
N,S,0.516304347826087,0.483695652173913,171,0.01,1,Fold07.Rep2
N,S,0.516304347826087,0.483695652173913,189,0.01,1,Fold07.Rep2
N,S,0.516304347826087,0.483695652173913,199,0.01,1,Fold07.Rep2
N,N,0.516304347826087,0.483695652173913,13,0.01,1,Fold08.Rep2
N,N,0.516304347826087,0.483695652173913,22,0.01,1,Fold08.Rep2
N,N,0.516304347826087,0.483695652173913,24,0.01,1,Fold08.Rep2
N,N,0.516304347826087,0.483695652173913,35,0.01,1,Fold08.Rep2
N,N,0.516304347826087,0.483695652173913,55,0.01,1,Fold08.Rep2
N,N,0.516304347826087,0.483695652173913,56,0.01,1,Fold08.Rep2
N,N,0.516304347826087,0.483695652173913,62,0.01,1,Fold08.Rep2
N,N,0.516304347826087,0.483695652173913,63,0.01,1,Fold08.Rep2
N,N,0.516304347826087,0.483695652173913,77,0.01,1,Fold08.Rep2
N,N,0.516304347826087,0.483695652173913,87,0.01,1,Fold08.Rep2
N,N,0.516304347826087,0.483695652173913,88,0.01,1,Fold08.Rep2
N,S,0.516304347826087,0.483695652173913,114,0.01,1,Fold08.Rep2
